Fecha,A_precio,A_change,B_precio,B_change,C_precio,C_change,D_precio,D_change,E_precio,E_change
1/01/2016,36124.43,0.00,30979.52,0.00,35918.91,0.00,28251.02,0.00,36286.59,0.00
2/01/2016,36124.43,0.00,30979.52,0.00,35918.91,0.00,28251.02,0.00,36286.59,0.00
3/01/2016,36124.43,1.17,30979.52,2.65,35918.91,2.72,28251.02,2.28,36286.59,0.00
4/01/2016,36127.66,-5.83,30993.66,-5.34,35934.03,-4.87,28260.78,-3.29,36287.59,2.94
5/01/2016,35785.62,-4.29,30784.39,-3.57,35804.22,-3.23,28233.86,1.97,36306.56,3.47
6/01/2016,35712.57,-5.53,30748.73,-4.89,35778.94,-4.34,28241.00,-2.71,36338.84,3.58
7/01/2016,35459.21,-6.04,30615.92,-5.59,35702.22,-5.10,28225.97,-3.58,36374.82,2.42
8/01/2016,35039.34,0.00,30348.89,0.00,35537.46,0.00,28190.15,0.00,36386.12,0.00
9/01/2016,35039.34,0.00,30348.89,0.00,35537.46,0.00,28190.15,0.00,36386.12,0.00
10/01/2016,35039.34,-4.67,30348.89,-3.87,35537.46,-3.56,28190.15,-2.91,36386.12,-3.10
11/01/2016,34933.05,4.71,30301.03,4.24,35502.29,4.44,28171.76,04.03,36363.92,3.72
12/01/2016,35044.14,2.33,30370.51,1.12,35586.83,-1.84,28228.27,2.69,36405.07,3.61
13/01/2016,35054.39,-5.73,30373.57,-5.14,35580.52,-4.83,28242.98,-4.16,36442.04,-3.82
14/01/2016,34745.68,-4.07,30202.27,-3.81,35454.89,-3.93,28178.75,-3.31,36396.22,3.59
15/01/2016,34687.07,0.00,30156.98,0.00,35404.10,0.00,28151.33,0.00,36432.31,0.00
16/01/2016,34687.07,0.00,30156.98,0.00,35404.10,0.00,28151.33,0.00,36432.31,0.00
17/01/2016,34687.07,-5.78,30156.98,-5.27,35404.10,-4.71,28151.33,-3.34,36432.31,2.88
18/01/2016,34362.65,-4.97,29961.83,-4.54,35292.58,-4.33,28123.09,-3.06,36450.14,3.12
19/01/2016,34218.00,2.15,29868.24,3.25,35216.66,2.31,28101.83,-1.18,36472.81,-1.34
20/01/2016,34226.59,-6.13,29894.04,-5.69,35226.70,-5.39,28098.58,-4.45,36469.00,0.13
21/01/2016,33767.62,-4.84,29599.13,-3.82,35006.82,-3.83,28012.78,-2.72,36470.14,3.25
22/01/2016,33641.70,0.00,29553.56,0.00,34960.96,0.00,27997.55,0.00,36495.98,0.00
23/01/2016,33641.70,0.00,29553.56,0.00,34960.96,0.00,27997.55,0.00,36495.98,0.00
24/01/2016,33641.70,5.77,29553.56,5.34,34960.96,4.98,27997.55,3.97,36495.98,-1.59
25/01/2016,33963.38,-3.66,29762.16,-1.96,35106.01,2.47,28050.68,1.97,36491.10,-0.15
26/01/2016,33924.61,5.12,29755.05,4.70,35117.83,4.51,28057.87,3.92,36489.94,3.60
27/01/2016,34092.06,-4.94,29865.47,-4.50,35208.66,-4.09,28108.30,-3.32,36526.48,-3.24
28/01/2016,33952.47,-4.08,29775.72,-2.84,35149.09,-2.45,28080.66,-2.16,36500.82,3.19
29/01/2016,33893.58,0.00,29758.63,0.00,35137.51,0.00,28071.95,0.00,36525.14,0.00
30/01/2016,33893.58,0.00,29758.63,0.00,35137.51,0.00,28071.95,0.00,36525.14,0.00
31/01/2016,33893.58,6.21,29758.63,5.78,35137.51,5.52,28071.95,4.59,36525.14,04.08
1/02/2016,34393.60,5.52,30081.74,05.06,35387.18,05.08,28170.31,4.33,36584.25,3.61
2/02/2016,34642.49,-6.07,30239.61,-5.53,35547.97,-5.15,28246.08,-4.04,36621.22,-1.53
3/02/2016,34210.61,-5.73,29987.63,-5.37,35375.75,-5.17,28189.52,-4.29,36616.60,2.39
